Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file
ALIVE,2007-1604,K:LCD-2007-1604*2,Grewia monantha,Grewia monantha,Grewia,Malvaceae,,N - Natural Source and Progeny,,23-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2016-1308,K:LCD-2016-1308*2,Ageratum corymbosum,Ageratum corymbosum,Ageratum,Asteraceae,,N - Natural Source and Progeny,Mexico,19-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2004-100,K:LCD-2004-100*3,Stelis villosa,Stelis villosa,Stelis,Orchidaceae,,,,19-10-2021,TropicalNursery_Simplified.xlsx
ALIVE,2002-1823,K:LCD-2002-1823*2,Cattleya × irrorata,Cattleya × irrorata,Cattleya,Orchidaceae,,,,22-08-2024,TropicalNursery_Simplified.xlsx
ALIVE,1972-1094,K:LCD-1972-1094*1,Polystachya galeata,Polystachya galeata,Polystachya,Orchidaceae,,N - Natural Source and Progeny,Sierra Leone,10-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2000-46,K:LCD-2000-46*1,Echinocereus viereckii subsp. morricalii,Echinocereus viereckii subsp. morricalii,Echinocereus,Cactaceae,,,,24-05-2023,TropicalNursery_Simplified.xlsx
ALIVE,2007-913,K:LCD-2007-913*1,Kalanchoe synsepala,Kalanchoe synsepala,Kalanchoe,Crassulaceae,,N - Natural Source and Progeny,Madagascar,14-02-2024,TropicalNursery_Simplified.xlsx
ALIVE,2010-71,K:LCD-2010-71*1,Lipotriche tithonioides,Melanthera tithonioides,Melanthera,Asteraceae,,N - Natural Source and Progeny,Guinea,20-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2017-2394,K:LCD-2017-2394*1,Maxillaria porrecta,Maxillaria porrecta,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1993-2908,K:LCD-1993-2908*1,Liparia splendens subsp. splendens,Liparia splendens subsp. splendens,Liparia,Fabaceae,,N - Natural Source and Progeny,South Africa,12-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2000-3313,K:LCD-2000-3313*1,Psychotria carthagenensis,Psychotria carthagenensis,Psychotria,Rubiaceae,,,,22-12-2023,TropicalNursery_Simplified.xlsx
ALIVE,1966-48932,K:LCD-1966-48932*1,Rhipsalis hileiabaiana,Rhipsalis baccifera subsp. hileiabaiana,Rhipsalis,Cactaceae,,N - Natural Source and Progeny,Brazil,29-05-2024,TropicalNursery_Simplified.xlsx
ALIVE,1982-2008,K:LCD-1982-2008*1,Dracunculus canariensis,Dracunculus canariensis,Dracunculus,Araceae,,,,03-10-2023,TropicalNursery_Simplified.xlsx
ALIVE,2005-116,K:LCD-2005-116*3,Agave missionum,Agave missionum,Agave,Asparagaceae,,N - Natural Source and Progeny,British Virgin Islands,12-02-2024,TropicalNursery_Simplified.xlsx
ALIVE,1990-1796,K:LCD-1990-1796*1,Euphorbia neoarborescens,Euphorbia neoarborescens,Euphorbia,Euphorbiaceae,,N - Natural Source and Progeny,Tanzania,06-12-2023,TropicalNursery_Simplified.xlsx
ALIVE,2020-995,K:LCD-2020-995*1,Dionycha bojerii,Dionycha bojerii,Dionycha,Melastomataceae,,N - Natural Source and Progeny,Madagascar,05-06-2023,TropicalNursery_Simplified.xlsx
ALIVE,1990-1335,K:LCD-1990-1335*2,Sarracenia leucophylla,Sarracenia leucophylla,Sarracenia,Sarraceniaceae,,N - Natural Source and Progeny,United States,04-07-2022,TropicalNursery_Simplified.xlsx
ALIVE,1980-3543,K:LCD-1980-3543*1,Dendrobium sladei,Dendrobium sladei,Dendrobium,Orchidaceae,,N - Natural Source and Progeny,Vanuatu,16-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,1945-22601,K:LCD-1945-22601*3,Impatiens niamniamensis,Impatiens niamniamensis,Impatiens,Balsaminaceae,,,,20-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1981-1073,K:LCD-1981-1073*1,Buxus hildebrandtii,Buxus hildebrandtii,Buxus,Buxaceae,,N - Natural Source and Progeny,Somalia,16-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2015-838,K:LCD-2015-838*1,Cistus monspeliensis,Cistus monspeliensis,Cistus,Cistaceae,,N - Natural Source and Progeny,,19-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,2009-259,K:LCD-2009-259*1,Terminalia mantaly,Terminalia mantaly,Terminalia,Combretaceae,,N - Natural Source and Progeny,Madagascar,12-05-2023,TropicalNursery_Simplified.xlsx
ALIVE,2008-1618,K:LCD-2008-1618*1,Hippobroma longiflora,Hippobroma longiflora,Hippobroma,Campanulaceae,,,,19-07-2012,TropicalNursery_Simplified.xlsx
ALIVE,2015-378,K:LCD-2015-378*6,Osa pulchra,Osa pulchra,Osa,Rubiaceae,,,Costa Rica,20-12-2023,TropicalNursery_Simplified.xlsx
ALIVE,2007-1656,K:LCD-2007-1656*1,Grewia subaequalis,Grewia subaequalis,Grewia,Malvaceae,,N - Natural Source and Progeny,Madagascar,12-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2007-2174,K:LCD-2007-2174*1,Asparagus schumanianus,Asparagus schumanianus,Asparagus,Asparagaceae,,N - Natural Source and Progeny,Madagascar,07-07-2023,TropicalNursery_Simplified.xlsx
ALIVE,2004-3719,K:LCD-2004-3719*1,Euphorbia tirucalli,Euphorbia laro,Euphorbia,Euphorbiaceae,,N - Natural Source and Progeny,Madagascar,29-11-2023,TropicalNursery_Simplified.xlsx
ALIVE,2003-3089,K:LCD-2003-3089*3,Masdevallia infracta,Masdevallia infracta,Masdevallia,Orchidaceae,,,,31-03-2023,TropicalNursery_Simplified.xlsx
ALIVE,2016-586,K:LCD-2016-586*2,Libertia peregrinans,Libertia peregrinans,Libertia,Iridaceae,,N - Natural Source and Progeny,New Zealand,20-12-2024,TropicalNursery_Simplified.xlsx
