Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date
ALIVE,2003-3278,K:LCD-2003-3278*1,Melocactus zehntneri,Melocactus zehntneri,Melocactus,Cactaceae,,,Brazil,07-01-2022,TropicalNursery_Simplified.xlsx,2003
ALIVE,1973-13391,K:LCD-1973-13391*1,,Crassula ovata 'Variegata',Crassula,Crassulaceae,,,,14-08-2023,TropicalNursery_Simplified.xlsx,1973
ALIVE,2004-1650,K:LCD-2004-1650*2,Cyphostemma laza,Cyphostemma laza,Cyphostemma,Vitaceae,,,,12-02-2024,TropicalNursery_Simplified.xlsx,2004
ALIVE,1968-38202,K:LCD-1968-38202*1,,Jasminum sambac 'Maid of Orleans',Jasminum,Oleaceae,,,,22-09-2022,TropicalNursery_Simplified.xlsx,1968
ALIVE,2008-2158,K:LCD-2008-2158*1,Aloidendron sabaeum,Aloe sabaea,Aloe,Asphodelaceae,,,,29-08-2024,TropicalNursery_Simplified.xlsx,2008
ALIVE,2003-1127,K:LCD-2003-1127*1,Stenocactus obvallatus,Stenocactus obvallatus,Stenocactus,Cactaceae,,,,08-06-2023,TropicalNursery_Simplified.xlsx,2003
ALIVE,1985-3565,K:LCD-1985-3565*1,,Echeveria agavoides 'Red Edge',Echeveria,Crassulaceae,,,,07-11-2024,TropicalNursery_Simplified.xlsx,1985
ALIVE,1972-15,K:LCD-1972-15*1,Billbergia pyramidalis,Billbergia pyramidalis,Billbergia,Bromeliaceae,,N - Natural Source and Progeny,Brazil,23-03-2023,TropicalNursery_Simplified.xlsx,1972
ALIVE,1977-914,K:LCD-1977-914*1,,Plantae,,,,N - Natural Source and Progeny,Brazil,08-05-2009,TropicalNursery_Simplified.xlsx,1977
ALIVE,2001-2500,K:LCD-2001-2500*1,Sarracenia flava,Sarracenia flava,Sarracenia,Sarraceniaceae,,,,28-08-2024,TropicalNursery_Simplified.xlsx,2001
ALIVE,1977-2855,K:LCD-1977-2855*1,Cymbidium aloifolium,Cymbidium aloifolium,Cymbidium,Orchidaceae,,N - Natural Source and Progeny,Thailand,18-09-2024,TropicalNursery_Simplified.xlsx,1977
ALIVE,2003-3486,K:LCD-2003-3486*1,Harrisia adscendens,Harrisia adscendens,Harrisia,Cactaceae,,,Brazil,20-02-2024,TropicalNursery_Simplified.xlsx,2003
ALIVE,1990-1922,K:LCD-1990-1922*1,Ibervillea sonorae,Ibervillea sonorae,Ibervillea,Cucurbitaceae,,,Mexico,13-02-2024,TropicalNursery_Simplified.xlsx,1990
ALIVE,2005-2627,K:LCD-2005-2627*1,Scaphosepalum microdactylum,Scaphosepalum microdactylum,Scaphosepalum,Orchidaceae,,,,28-03-2023,TropicalNursery_Simplified.xlsx,2005
ALIVE,2007-524,K:LCD-2007-524*1,Echinocereus bonkerae,Echinocereus bonkerae,Echinocereus,Cactaceae,,,,17-08-2021,TropicalNursery_Simplified.xlsx,2007
ALIVE,1983-4489,K:LCD-1983-4489*1,Hoya nummularioides,Hoya nummularioides,Hoya,Apocynaceae,,,,07-10-2022,TropicalNursery_Simplified.xlsx,1983
ALIVE,1922-29001,K:LCD-1922-29001*1,Dendrobium kingianum,Dendrobium kingianum,Dendrobium,Orchidaceae,,,,29-05-2024,TropicalNursery_Simplified.xlsx,1922
ALIVE,1969-17651,K:LCD-1969-17651*1,Microsorum musifolium,Microsorum musifolium,Microsorum,Polypodiaceae,,,,14-12-2016,TropicalNursery_Simplified.xlsx,1969
ALIVE,2009-1270,K:LCD-2009-1270*1,Pelargonium cucullatum subsp. strigifolium,Pelargonium cucullatum subsp. strigifolium,Pelargonium,Geraniaceae,,,,03-01-2025,TropicalNursery_Simplified.xlsx,2009
ALIVE,1979-2705,K:LCD-1979-2705*1,Lepismium warmingianum,Lepismium warmingianum,Lepismium,Cactaceae,,N - Natural Source and Progeny,Argentina,29-05-2024,TropicalNursery_Simplified.xlsx,1979
ALIVE,2010-250,K:LCD-2010-250*1,Opuntia polyacantha,Opuntia polyacantha,Opuntia,Cactaceae,,N - Natural Source and Progeny,United States,28-12-2023,TropicalNursery_Simplified.xlsx,2010
ALIVE,2005-1748,K:LCD-2005-1748*2,Nepenthes fusca,Nepenthes fusca,Nepenthes,Nepenthaceae,,,Malaysia,25-07-2023,TropicalNursery_Simplified.xlsx,2005
ALIVE,1986-779,K:LCD-1986-779*1,Ruschia callifera,Ruschia callifera,Ruschia,Aizoaceae,,,,19-12-2023,TropicalNursery_Simplified.xlsx,1986
ALIVE,2011-288,K:LCD-2011-288*1,Cochemiea albicans,Mammillaria albicans,Mammillaria,Cactaceae,,,,14-01-2025,TropicalNursery_Simplified.xlsx,2011
ALIVE,1968-15103,K:LCD-1968-15103*1,Ipomoea corymbosa,Turbina corymbosa,Turbina,Convolvulaceae,,,,22-09-2022,TropicalNursery_Simplified.xlsx,1968
ALIVE,2004-1269,K:LCD-2004-1269*1,Passiflora tarminiana,Passiflora tarminiana,Passiflora,Passifloraceae,,,,18-12-2024,TropicalNursery_Simplified.xlsx,2004
